STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,median-decimal,clean-income-tracts_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,NUMPOINTS
"47","037","018700","47037018700","187",Census Tract 187,G5020,S,"19580515","302117","+36.0684470","-086.7931275",192750.000,"192750",null,"33059",null,0
"47","037","010701","47037010701","107.01",Census Tract 107.01,G5020,S,"3390727","38574","+36.2583824","-086.7061921",53575.000,"53575",null,"14006",null,0
"47","037","014200","47037014200","142",Census Tract 142,G5020,S,"1080635","0","+36.1669323","-086.8036511",26193.000,"26193",null,"13261",null,2
"47","037","014300","47037014300","143",Census Tract 143,G5020,S,"1253575","0","+36.1611635","-086.8156898",44943.000,"44943",null,"6616",null,1
"47","037","014800","47037014800","148",Census Tract 148,G5020,S,"215341","0","+36.1516127","-086.7645179",17092.000,"17092",null,"6975",null,0
"47","037","016300","47037016300","163",Census Tract 163,G5020,S,"1099219","0","+36.1431906","-086.7899132",79028.000,"79028",null,"62388",null,0
"47","037","015100","47037015100","151",Census Tract 151,G5020,S,"7572232","14553","+36.1575723","-086.6772114",68806.000,"68806",null,"10684",null,0
"47","037","016400","47037016400","164",Census Tract 164,G5020,S,"1133700","0","+36.1401698","-086.7966092",50855.000,"50855",null,"17472",null,8
"47","037","015200","47037015200","152",Census Tract 152,G5020,S,"3547028","0","+36.1729131","-086.6904639",58333.000,"58333",null,"13028",null,1
"47","037","015402","47037015402","154.02",Census Tract 154.02,G5020,S,"8571301","163135","+36.1898218","-086.6494938",68208.000,"68208",null,"9614",null,0
"47","037","016500","47037016500","165",Census Tract 165,G5020,S,"1494439","0","+36.1456055","-086.8050100",59911.000,"59911",null,"4916",null,3
"47","037","019108","47037019108","191.08",Census Tract 191.08,G5020,S,"1593451","0","+36.0701967","-086.6951775",36811.000,"36811",null,"6365",null,0
"47","037","015501","47037015501","155.01",Census Tract 155.01,G5020,S,"6511636","8440","+36.1740470","-086.6446140",57622.000,"57622",null,"12368",null,0
"47","037","019003","47037019003","190.03",Census Tract 190.03,G5020,S,"1885111","0","+36.0769990","-086.7054402",45484.000,"45484",null,"5663",null,0
"47","037","016600","47037016600","166",Census Tract 166,G5020,S,"1431395","0","+36.1460321","-086.8156833",54356.000,"54356",null,"10642",null,7
"47","037","016800","47037016800","168",Census Tract 168,G5020,S,"1731407","0","+36.1350471","-086.8100173",89375.000,"89375",null,"36962",null,2
"47","037","019110","47037019110","191.10",Census Tract 191.10,G5020,S,"2607007","0","+36.0517959","-086.7048615",59375.000,"59375",null,"8516",null,0
"47","037","011400","47037011400","114",Census Tract 114,G5020,S,"2651411","0","+36.1985212","-086.7337810",80956.000,"80956",null,"26366",null,2
"47","037","010702","47037010702","107.02",Census Tract 107.02,G5020,S,"2699620","86739","+36.2426141","-086.7159875",30606.000,"30606",null,"5001",null,3
"47","037","010801","47037010801","108.01",Census Tract 108.01,G5020,S,"5451875","16011","+36.2770642","-086.7247557",60371.000,"60371",null,"8675",null,0
"47","037","013202","47037013202","132.02",Census Tract 132.02,G5020,S,"2721406","12651","+36.1602781","-086.8703605",74222.000,"74222",null,"18565",null,0
"47","037","013201","47037013201","132.01",Census Tract 132.01,G5020,S,"1909944","254000","+36.1496854","-086.8826046",54222.000,"54222",null,"6391",null,0
"47","037","018409","47037018409","184.09",Census Tract 184.09,G5020,S,"3432607","0","+36.0757738","-086.9512200",71458.000,"71458",null,"14457",null,0
"47","037","018410","47037018410","184.10",Census Tract 184.10,G5020,S,"1227824","0","+36.0712762","-086.9382585",60141.000,"60141",null,"6862",null,1
"47","037","015804","47037015804","158.04",Census Tract 158.04,G5020,S,"1664634","0","+36.1346906","-086.7023849",45000.000,"45000",null,"8062",null,0
"47","037","015629","47037015629","156.29",Census Tract 156.29,G5020,S,"6237959","0","+36.0506677","-086.6371121",50726.000,"50726",null,"5628",null,0
"47","037","015626","47037015626","156.26",Census Tract 156.26,G5020,S,"3393771","0","+36.0722871","-086.6476413",54629.000,"54629",null,"6764",null,0
"47","037","015628","47037015628","156.28",Census Tract 156.28,G5020,S,"2163929","0","+36.0532074","-086.6572042",51336.000,"51336",null,"12238",null,0
"47","037","015622","47037015622","156.22",Census Tract 156.22,G5020,S,"6094455","0","+36.1839435","-086.5833010",93224.000,"93224",null,"8758",null,0
"47","037","019117","47037019117","191.17",Census Tract 191.17,G5020,S,"12972892","0","+36.0192025","-086.6464226",99855.000,"99855",null,"7558",null,0
"47","037","018803","47037018803","188.03",Census Tract 188.03,G5020,S,"3516173","0","+36.0423162","-086.7687901",79143.000,"79143",null,"10228",null,0
"47","037","017702","47037017702","177.02",Census Tract 177.02,G5020,S,"3296657","0","+36.0995275","-086.7996835",129583.000,"129583",null,"33168",null,0
"47","037","017701","47037017701","177.01",Census Tract 177.01,G5020,S,"5280372","0","+36.0960880","-086.7761379",166458.000,"166458",null,"25921",null,0
"47","037","018804","47037018804","188.04",Census Tract 188.04,G5020,S,"4784962","16671","+36.0267961","-086.7561011",109375.000,"109375",null,"24322",null,0
"47","037","019118","47037019118","191.18",Census Tract 191.18,G5020,S,"2026269","0","+36.0382898","-086.6692376",58844.000,"58844",null,"8636",null,0
"47","037","010602","47037010602","106.02",Census Tract 106.02,G5020,S,"3097282","0","+36.2533653","-086.6817552",53189.000,"53189",null,"7154",null,0
"47","037","019200","47037019200","192",Census Tract 192,G5020,S,"1771200","0","+36.1711529","-086.7520191",73604.000,"73604",null,"4728",null,4
"47","037","015637","47037015637","156.37",Census Tract 156.37,G5020,S,"9828657","1204178","+36.1045801","-086.6411995",53964.000,"53964",null,"11590",null,0
"47","037","015633","47037015633","156.33",Census Tract 156.33,G5020,S,"13138415","4907139","+36.1451761","-086.5766361",100303.000,"100303",null,"22000",null,0
"47","037","015636","47037015636","156.36",Census Tract 156.36,G5020,S,"2194409","0","+36.0833835","-086.6377772",82679.000,"82679",null,"23635",null,0
"47","037","019119","47037019119","191.19",Census Tract 191.19,G5020,S,"25041367","0","+35.9956858","-086.6512255",101577.000,"101577",null,"16406",null,0
"47","037","018205","47037018205","182.05",Census Tract 182.05,G5020,S,"7409386","430","+36.1055843","-086.9076505",82967.000,"82967",null,"7539",null,0
"47","037","019501","47037019501","195.01",Census Tract 195.01,G5020,S,"998870","0","+36.1531279","-086.7949488",63523.000,"63523",null,"23093",null,3
"47","037","018411","47037018411","184.11",Census Tract 184.11,G5020,S,"3377614","10931","+36.0926717","-086.9268922",56268.000,"56268",null,"10093",null,0
"47","037","018204","47037018204","182.04",Census Tract 182.04,G5020,S,"2800268","0","+36.0844529","-086.9108305",44671.000,"44671",null,"10141",null,0
"47","037","015632","47037015632","156.32",Census Tract 156.32,G5020,S,"3398825","1383216","+36.1585698","-086.6048178",49250.000,"49250",null,"17760",null,0
"47","037","015634","47037015634","156.34",Census Tract 156.34,G5020,S,"12600831","502128","+36.0446450","-086.5886022",78263.000,"78263",null,"24078",null,0
"47","037","019121","47037019121","191.21",Census Tract 191.21,G5020,S,"2701343","0","+36.0230594","-086.6995486",98258.000,"98258",null,"45312",null,0
"47","037","019120","47037019120","191.20",Census Tract 191.20,G5020,S,"2035288","0","+36.0124125","-086.6886850",78472.000,"78472",null,"35743",null,0
"47","037","013002","47037013002","130.02",Census Tract 130.02,G5020,S,"3839815","462204","+36.1934947","-086.9037055",,"-","-",**,**,0
"47","037","013600","47037013600","136",Census Tract 136,G5020,S,"4457975","143854","+36.1685854","-086.8283325",32750.000,"32750",null,"6396",null,1
"47","037","019502","47037019502","195.02",Census Tract 195.02,G5020,S,"1649961","0","+36.1544195","-086.7787687",69907.000,"69907",null,"10297",null,4
"47","037","010404","47037010404","104.04",Census Tract 104.04,G5020,S,"1444518","0","+36.2686851","-086.7050851",65973.000,"65973",null,"4586",null,0
"47","037","015805","47037015805","158.05",Census Tract 158.05,G5020,S,"2272173","0","+36.1206283","-086.7079741",41758.000,"41758",null,"12180",null,0
"47","037","013701","47037013701","137.01",Census Tract 137.01,G5020,S,"2251144","73162","+36.1848855","-086.8164870",47721.000,"47721",null,"15422",null,0
"47","037","015635","47037015635","156.35",Census Tract 156.35,G5020,S,"22071873","14968757","+36.0957677","-086.5371441",108175.000,"108175",null,"15679",null,0
"47","037","019402","47037019402","194.02",Census Tract 194.02,G5020,S,"2029193","186729","+36.1856995","-086.7895295",94065.000,"94065",null,"8508",null,2
"47","037","019401","47037019401","194.01",Census Tract 194.01,G5020,S,"1921756","47123","+36.1720567","-086.7921107",56693.000,"56693",null,"13761",null,3
"47","037","019007","47037019007","190.07",Census Tract 190.07,G5020,S,"1607378","0","+36.0880201","-086.7233711",48542.000,"48542",null,"7031",null,1
"47","037","016700","47037016700","167",Census Tract 167,G5020,S,"3456003","0","+36.1328162","-086.8301351",125735.000,"125735",null,"19051",null,4
"47","037","010403","47037010403","104.03",Census Tract 104.03,G5020,S,"2059044","106942","+36.2676128","-086.6884134",28365.000,"28365",null,"7253",null,0
"47","037","010105","47037010105","101.05",Census Tract 101.05,G5020,S,"28328799","1093","+36.2504208","-086.8521501",69525.000,"69525",null,"14061",null,0
"47","037","018412","47037018412","184.12",Census Tract 184.12,G5020,S,"3137170","0","+36.0832193","-086.9387611",86003.000,"86003",null,"7546",null,0
"47","037","019503","47037019503","195.03",Census Tract 195.03,G5020,S,"2242163","182715","+36.1616431","-086.7784149",91917.000,"91917",null,"19626",null,55
